,2010,2011,2012,2013,2014
January,"16,434","17,435","17,373","18,797","19,438"
Febuary,"14,464","14,895","16,969","16,427","16,568"
March,"16,741","17,485","18,193","18,489","19,092"
April,"15,458","16,532","16,812","17,862","18,110"
May,"16,806","17,656","18,656","18,841","19,269"
June,"16,293","17,090","17,863","18,532","18,796"
July,"16,670","17,784","18,353","19,149","19,291"
August,"16,496","17,555","18,114","18,527","19,139"
September,"17,277","17,884","18,821","19,167","19,702"
October,"17,564","18,478","18,957","19,696","20,421"
November,"17,131","18,158","18,524","19,109","19,607"
December,"17,314","18,082","18,564","19,118","19,518"
